( arctic_a0401 "The man smiled grimly, and brought a hatchet and a club." )
( arctic_a0402 "Curly rushed her antagonist, who struck again and leaped aside." )
( arctic_a0403 "His newborn cunning gave him poise and control." )
( arctic_a0404 "Perrault found one with head buried in the grub box." )
( arctic_a0405 "It seemed the ordained order of things that dogs should work." )
( arctic_a0406 "And that was the last of Francois and Perrault." )
( arctic_a0407 "Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria." )
( arctic_a0408 "The Eldorado emptied its occupants into the street to see the test." )
( arctic_a0409 "He could feel a new stir in the land." )
( arctic_a0410 "So we have to fit the boat throughout with oil lamps as well." )
( arctic_a0411 "It will break our hearts and our backs to hoist anchor by hand." )
( arctic_a0412 "There is another virtue in these bulkheads." )
( arctic_a0413 "But I am at the end of my resources." )
( arctic_a0414 "Now our figuring was all right." )
( arctic_a0415 "It lasted as a deterrent for two days." )
( arctic_a0416 "The added weight had a velocity of fifteen miles per hour." )
( arctic_a0417 "It is also an insidious, deceitful sun." )
( arctic_a0418 "The Portuguese boy crawled nearer and nearer." )
( arctic_a0419 "The Portuguese boy passed the Hawaiian." )
( arctic_a0420 "When I came to I was waving my hat and murmuring ecstatically." )
( arctic_a0421 "By golly, the boy wins." )
( arctic_a0422 "Halfway around the track one donkey got into an argument with its rider." )
( arctic_a0423 "McVeigh when he returns from a trip to Honolulu." )
( arctic_a0424 "Obviously, it was a disease that could be contracted by contact." )
( arctic_a0425 "Otherwise no restriction is put upon their seafaring." )
( arctic_a0426 "They do not know the length of time of incubation." )
( arctic_a0427 "Enters now the psychology of the situation." )
( arctic_a0428 "It was not exactly a deportation." )
( arctic_a0429 "Quick was the disappointment in his face, yet smiling was the acquiescence." )
( arctic_a0430 "Nevertheless we found ourselves once more in the high seat of abundance." )
( arctic_a0431 "Wada and Nakata were in a bit of a funk." )
( arctic_a0432 "The boy at the wheel lost his head." )
( arctic_a0433 "To her the bridge was tambo, which is the native for taboo." )
( arctic_a0434 "A half a case of tobacco was worth three pounds." )
( arctic_a0435 "What do you mean by this outrageous conduct." )
( arctic_a0436 "But Martin smiled a superior smile." )
( arctic_a0437 "By that answer my professional medical prestige stood or fell." )
( arctic_a0438 "At sea, Monday, March 16, 1908." )
( arctic_a0439 "At sea, Wednesday, March 18, 1908." )
( arctic_a0440 "Yes, sir, I corrected." )
( arctic_a0441 "Violent life and athletic sports had never appealed to me." )
( arctic_a0442 "You live on an income which your father earned." )
( arctic_a0443 "He was worth nothing to the world." )
( arctic_a0444 "Then you don't believe in altruism." )
( arctic_a0445 "The creative joy, I murmured." )
( arctic_a0446 "He deluged me, overwhelmed me with argument." )
( arctic_a0447 "Ah, it is growing dark and darker." )
( arctic_a0448 "I was Hump, cabin boy on the schooner Ghost." )
( arctic_a0449 "A sinewy hand, dripping with water, was clutching the rail." )
( arctic_a0450 "No man ate of the seal meat or the oil." )
( arctic_a0451 "I noticed blood spouting from Kerfoot's left hand." )
( arctic_a0452 "Three oilers and a fourth engineer, was his greeting." )
( arctic_a0453 "Eighteen hundred, he calculated." )
( arctic_a0454 "The sharp voice of Wolf Larsen aroused me." )
( arctic_a0455 "I obeyed, and a minute or two later they stood before him." )
( arctic_a0456 "But it won't continue, she said with easy confidence." )
( arctic_a0457 "What I saw I could not at first believe." )
( arctic_a0458 "The stout wood was crushed like an eggshell." )
( arctic_a0459 "There's too much of the schoolboy in me." )
( arctic_a0460 "I had forgotten their existence." )
( arctic_a0461 "Ah, we were very close together in that moment." )
( arctic_a0462 "But she swung obediently on her heel into the wind." )
( arctic_a0463 "They are his tongue, by which he makes his knowledge articulate." )
( arctic_a0464 "Between the rush of the cascades, streaks of rust showed everywhere." )
( arctic_a0465 "He'll never do a tap of work the whole Voyage." )
( arctic_a0466 "Captain West may be a Samurai, but he is also human." )
( arctic_a0467 "And so early in the voyage, too." )
( arctic_a0468 "In the matter of curry she is a sheer genius." )
( arctic_a0469 "The eastern heavens were equally spectacular." )
( arctic_a0470 "He spat it out like so much venom." )
( arctic_a0471 "I saw Mr Pike nod his head grimly and sarcastically." )
( arctic_a0472 "He is too keenly intelligent, too sharply sensitive, successfully to endure." )
( arctic_a0473 "The night was calm and snowy." )
( arctic_a0474 "I sailed third mate in the little Vampire before you were born." )
( arctic_a0475 "His outstretched arm dropped to his side, and he paused." )
( arctic_a0476 "At this moment I felt a stir at my shoulder." )
( arctic_a0477 "Wada, Louis, and the steward are servants of Asiatic breed." )
( arctic_a0478 "Also, she has forbidden them smoking their pipes in the after-room." )
( arctic_a0479 "I tried to read George Moore last night, and was dreadfully bored." )
( arctic_a0480 "Tom Spink has a harpoon." )
( arctic_a0481 "Nimrod replied, with a slight manifestation of sensitiveness." )
( arctic_a0482 "And their chief virtue lies in that they will never wear out." )
( arctic_a0483 "Beyond dispute, Corry Hutchinson had married Mabel Holmes." )
( arctic_a0484 "No-sir-ee." )
( arctic_a0485 "Each insult added to the value of the claim." )
( arctic_a0486 "For the rest, he was a mere automaton." )
( arctic_a0487 "The river bared its bosom, and snorting steamboats challenged the wilderness." )
( arctic_a0488 "Their love burned with increasing brightness." )
( arctic_a0489 "They were artists, not biologists." )
( arctic_a0490 "Both Johnny and his mother shuffled their feet as they walked." )
( arctic_a0491 "And as in denial of guilt, the one-legged boy replied." )
( arctic_a0492 "Burnt out like the crater of a volcano." )
( arctic_a0493 "The boy, O'Brien, was specially maltreated." )
( arctic_a0494 "O'Brien took off his coat and bared his right arm." )
( arctic_a0495 "He bore no grudges and had few enemies." )
( arctic_a0496 "And Tom King patiently endured." )
( arctic_a0497 "King took every advantage he knew." )
( arctic_a0498 "The lines were now very taut." )
( arctic_a0499 "And right there I saw and knew it all." )
( arctic_a0500 "Who the devil gave it to you to be judge and jury." )
( arctic_a0501 "You're joking me, sir, the other managed to articulate." )
( arctic_a0502 "Anything unusual or abnormal was sufficient to send a fellow to Molokai." )
( arctic_a0503 "His beady black eyes saw bargains where other men saw bankruptcy." )
( arctic_a0504 "He was an athlete and a giant." )
( arctic_a0505 "We fished sharks on Niihau together." )
( arctic_a0506 "The Claudine was leaving next morning for Honolulu." )
( arctic_a0507 "In short, my joyous individualism was dominated by the orthodox bourgeois ethics." )
( arctic_a0508 "Soon shall it be thrust back from off prostrate humanity." )
( arctic_a0509 "Yet, in accordance with Ernest's test of truth, it worked." )
( arctic_a0510 "Much more Ernest told them of themselves and of his disillusionment." )
( arctic_a0511 "There is more behind this than a mere university ideal." )
( arctic_a0512 "No, it is a palace, wherein there are many servants." )
( arctic_a0513 "We must give ourselves and not our money alone." )
( arctic_a0514 "We are consumed in our own flesh-pots." )
( arctic_a0515 "But here amongst ourselves let us speak out." )
( arctic_a0516 "Also, there was awe in their faces." )
( arctic_a0517 "Out of abstractions Ernest had conjured a vision and made them see it." )
