( arctic_a0201 "He cried, and swung the club wildly." )
( arctic_a0202 "She turned, fearing that Jacques might see what was in her face." )
( arctic_a0203 "They were following the shore of a lake." )
( arctic_a0204 "The wolf-dog thrust his gaunt muzzle toward him." )
( arctic_a0205 "From now on we're pals." )
( arctic_a0206 "He says he bought him of Jacques Le Beau." )
( arctic_a0207 "How much was it." )
( arctic_a0208 "Youth had come back to her, freed from the yoke of oppression." )
( arctic_a0209 "It was not a large lake, and almost round." )
( arctic_a0210 "Its diameter was not more than two hundred yards." )
( arctic_a0211 "It drowned all sound that brute agony and death may have made." )
( arctic_a0212 "Fresh cases, still able to walk, they clustered about the spokesman." )
( arctic_a0213 "Between him and the beach was the cane-grass fence of the compound." )
( arctic_a0214 "Besides, he was paid one case of tobacco per head." )
( arctic_a0215 "They die out of spite." )
( arctic_a0216 "The other felt a sudden wave of irritation rush through him." )
( arctic_a0217 "Oppressive as the heat had been, it was now even more oppressive." )
( arctic_a0218 "The ringing of the big bell aroused him." )
( arctic_a0219 "At first he puzzled over something untoward he was sure had happened." )
( arctic_a0220 "A dead man is of no use on a plantation." )
( arctic_a0221 "I don't know why you're here at all." )
( arctic_a0222 "What part of the United States is your home." )
( arctic_a0223 "My, I'm almost homesick for it already." )
( arctic_a0224 "She nodded, and her eyes grew soft and moist." )
( arctic_a0225 "I was brought up the way most girls in Hawaii are brought up." )
( arctic_a0226 "That came before my A B C's." )
( arctic_a0227 "It was the same way with our revolvers and rifles." )
( arctic_a0228 "But it contributed to the smash." )
( arctic_a0229 "The last one I knew was an overseer." )
( arctic_a0230 "Do you know any good land around here." )
( arctic_a0231 "The Resident Commissioner is away in Australia." )
( arctic_a0232 "I cannot follow you, she said." )
( arctic_a0233 "I never allow what can't be changed to annoy me." )
( arctic_a0234 "Why, the average review is more nauseating than cod liver oil." )
( arctic_a0235 "His voice was passionately rebellious." )
( arctic_a0236 "Don't you see I hate you." )
( arctic_a0237 "So Hughie and I did the managing ourselves." )
( arctic_a0238 "It happened to him at the Gallina Society in Oakland one afternoon." )
( arctic_a0239 "He cried in such genuine dismay that she broke into hearty laughter." )
( arctic_a0240 "Wash your hands of me." )
( arctic_a0241 "I think it's much nicer to quarrel." )
( arctic_a0242 "I saw it when she rolled." )
( arctic_a0243 "I only read the quotations." )
( arctic_a0244 "He was the soul of devotion to his employers." )
( arctic_a0245 "Out of his eighteen hundred, he laid aside sixteen hundred each year." )
( arctic_a0246 "You have heard always how he was the lover of the Princess Naomi." )
( arctic_a0247 "They ought to pass here some time today." )
( arctic_a0248 "I had been sad too long already." )
( arctic_a0249 "All eyes, however, were staring at him in certitude of expectancy." )
( arctic_a0250 "He had observed the business life of Hawaii and developed a vaulting ambition." )
( arctic_a0251 "I may manage to freight a cargo back as well." )
( arctic_a0252 "O'Brien had been a clean living young man with ideals." )
( arctic_a0253 "He it was that lived to found the family of the Patino." )
( arctic_a0254 "Straight out they swam, their heads growing smaller and smaller." )
( arctic_a0255 "You won't die of malnutrition, be sure of that." )
( arctic_a0256 "See the length of the body and that elongated neck." )
( arctic_a0257 "They are coming ashore, whoever they are." )
( arctic_a0258 "Soaked in seawater they offset the heat rays." )
( arctic_a0259 "Think of investing in such an adventure." )
( arctic_a0260 "Nobody knew his history, they of the Junta least of all." )
( arctic_a0261 "I have been doubly baptized." )
( arctic_a0262 "They wouldn't be sweeping a big vessel like the Martha." )
( arctic_a0263 "Joan looked triumphantly at Sheldon, who bowed." )
( arctic_a0264 "And I hope you've got plenty of chain out, Captain Young." )
( arctic_a0265 "The discovery seemed to have been made on the spur of the moment." )
( arctic_a0266 "They handled two men already, both grub-thieves." )
( arctic_a0267 "Eli Harding asked, as Shunk started to follow." )
( arctic_a0268 "Now go ahead and tell me in a straightforward way what has happened." )
( arctic_a0269 "That's where they cut off the Scottish Chiefs and killed all hands." )
( arctic_a0270 "And after the bath a shave would not be bad." )
